logFC	AveExpr	t	P.Value	adj.P.Val	B
406915	7.26747833999655	10.5123823712536	22.823366535142	5.94127201751598e-20	1.01625457859611e-15	34.4922565526199
26787	-3.64607502399264	6.02118327881599	-21.2205623773629	4.29284609165386e-19	3.67145661988697e-15	32.7607513050773
692196	-3.60220530798875	6.19254991825681	-20.4540441986631	1.15879857552541e-18	5.99821418877871e-15	31.8782704880263
26805	-4.15465522139931	6.51098456699186	-20.3094304495553	1.40268089769745e-18	5.99821418877871e-15	31.7075843830128
692206	-4.24476401283233	6.58729906946733	-17.1285273709291	1.30007567672765e-16	4.44755889008527e-13	27.5794416552657
9302	-2.81143549234875	5.82486857758708	-16.8587705893286	1.97066563134799e-16	5.61803927070122e-13	27.1932873693544
26795	-3.48057520315935	6.21390503116838	-14.7569204760704	6.14645656182384e-15	1.50193056414281e-11	23.9613537233664
692233	-4.92837109190705	8.33313164052606	-14.373875145754	1.19885502128998e-14	2.56330189239564e-11	23.3265237256088
6090	-4.08177559762717	12.1837438170279	-14.1654124008558	1.73447025292991e-14	3.28907751432759e-11	22.9746639571584
677850	-4.09747001454897	7.49733859153521	-14.0768178422384	2.0317899923211e-14	3.28907751432759e-11	22.8237433245419
26776	-3.63301495511375	7.33440393553028	-14.0543662639097	2.1151623886351e-14	3.28907751432759e-11	22.7853649274782
692213	-4.44181552090975	8.61954082935684	-13.8028389407057	3.33008768794854e-14	4.47817733843897e-11	22.3517196546959
692106	-4.42452368824398	9.08703113157388	-13.7908454634747	3.40346713824651e-14	4.47817733843897e-11	22.3308719176169
641648	-2.62745778979317	5.79824326572187	-13.6452674545166	4.43927444795949e-14	5.42384210231050e-11	22.0765701911228
9301	-3.46858530032411	6.47244538244879	-13.5469342773024	5.31830342203207e-14	5.63871264651501e-11	21.9034823051218
692225	-5.87215837939219	8.35998613188089	-13.5298800080374	5.4881220900892e-14	5.63871264651501e-11	21.8733544193735
84546	-4.54614000828965	8.30179677435398	-13.5185422661659	5.60409909329173e-14	5.63871264651501e-11	21.8533074590984
9300	-2.79141916014148	5.93533573308375	-13.3188125834678	8.11756321746655e-14	7.71393993526475e-11	21.4978046027054
1645	-3.00724281571847	6.00457694706066	-13.1448921401601	1.12459541219839e-13	9.82220416089239e-11	21.1845845319641
594837	-3.50681621501198	6.39770816356503	-13.1218549580231	1.17449315161191e-13	9.82220416089239e-11	21.1428381934995
26807	-4.67127194355516	8.37568754765206	-13.1003998180915	1.22301413418322e-13	9.82220416089239e-11	21.103904189891
692200	-4.93949620515012	10.7164118195969	-13.083239023092	1.26330600140095e-13	9.82220416089239e-11	21.0727250938173
693197	-3.67609966740913	10.7346343465858	-12.7810482718052	2.24700257193026e-13	1.67108604316813e-10	20.518113154427
692208	-4.51680823044283	9.69303286476218	-12.5919930121711	3.23757417761442e-13	2.30744609617061e-10	20.1657140939908
692227	-3.29566400743356	13.1380794385986	-12.5132676709066	3.7736876234733e-13	2.58195707198043e-10	20.0177215633195
6086	-4.84555095098446	11.4767095302274	-12.4557708347139	4.22234511506966e-13	2.77781589204871e-10	19.9091681791893
56127	2.85183885727745	11.6674778533323	12.4102523265958	4.61625069516405e-13	2.92061460568261e-10	19.8229486908482
692204	-4.15579511419894	7.46879656216943	-12.3923992360193	4.78089499907121e-13	2.92061460568261e-10	19.7890640171278
26813	-4.78566942615141	7.86426496018223	-12.2448672870839	6.39540026894118e-13	3.77218350345651e-10	19.5075786287325
26800	-4.99891222666399	7.78414572622474	-12.1825285755716	7.23729666212344e-13	4.0028523044761e-10	19.3878442941172
26774	-3.61414720873215	6.76022845789028	-12.1813331206845	7.25451163044485e-13	4.0028523044761e-10	19.385543542493
26817	-4.79971700914564	8.06263644758146	-12.1597571079597	7.57255758024062e-13	4.04776866906299e-10	19.343988688412
6079	-3.33610410877137	6.56658030637992	-12.0192704440009	1.00261277849042e-12	5.19687623517537e-10	19.072017902127
8367	-4.20361250131858	8.2448050863074	-11.9198833298202	1.22448164412546e-12	6.16022309493117e-10	18.8781410682305
126129	3.94080276799122	7.9145942712932	11.8842022222137	1.31595464945232e-12	6.31837709131051e-10	18.8082377981896
955	-3.11220483483351	7.45567853768744	-11.8790262711833	1.32979582161461e-12	6.31837709131051e-10	18.7980843601646
677814	-3.79589627507429	6.89722119871623	-11.845566390202	1.4229581490212e-12	6.57829706459666e-10	18.7323669119886
6655	-2.41840131077138	9.31580865329866	-11.7834202088464	1.61420868069001e-12	7.24447611000305e-10	18.6099361437077
26810	-4.6186273342543	7.68988593732175	-11.7721092605439	1.65176596486477e-12	7.24447611000305e-10	18.5876009964463
692210	-4.69501305917114	7.77880446563873	-11.6735241573631	2.01968228702789e-12	8.63666637990302e-10	18.3922485886286
642	-3.45581064948296	7.586727264022	-11.6473041549453	2.13104936349673e-12	8.89063399088087e-10	18.340085619478
116937	-3.90844138747528	7.46477555600759	-11.6144113848895	2.27974142389572e-12	9.28451834660386e-10	18.2745245542748
595097	-4.00038487842392	10.397088845378	-11.5487845566249	2.60911299240606e-12	1.0378808775606e-09	18.1433084854807
162966	2.47807456915489	10.6087407463661	11.4237428269503	3.37885601671075e-12	1.3135302764963e-09	17.8917767876821
81926	-2.11898101023973	5.58673785219187	-11.3486715360761	3.94969765564002e-12	1.50132396443828e-09	17.7398018994413
91380	-2.06372724766884	5.47090601173296	-11.3329923157553	4.08093787846843e-12	1.5174878785044e-09	17.707969180143
677798	-3.76031786201026	9.41861751893096	-11.301028242164	4.36254664808944e-12	1.55795034827089e-09	17.6429758976023
5465	-3.01425436159862	10.7252499576853	-11.3000015918862	4.37191562215741e-12	1.55795034827089e-09	17.6408861986775
114599	-2.75311188661377	12.4289317723571	-11.1980344350254	5.41353157353502e-12	1.87956873256202e-09	17.4326567771396
5346	-2.35587204957656	5.87884338575926	-11.1909980104704	5.49420851377382e-12	1.87956873256202e-09	17.4182377684694
56664	-4.72394733038296	7.49610833201757	-11.1735703904081	5.69938807580763e-12	1.90025909223948e-09	17.3824974392012
5827	-2.30284533273063	12.2075500484452	-11.1671557663813	5.77687651543135e-12	1.90025909223948e-09	17.3693324610884
10216	-3.4771017047675	9.45399429530038	-11.1547357757036	5.93000069807781e-12	1.91382381020039e-09	17.3438272052136
92714	-3.34180939010514	6.38695604569638	-11.1364135652547	6.16354346314651e-12	1.95235946179854e-09	17.3061646509492
26820	-2.55696243931849	5.98526478339431	-11.0844941926845	6.87801967740810e-12	2.13906411967392e-09	17.1992028073393
677837	-5.06138029231473	9.8468983700269	-11.002208071609	8.18930903716148e-12	2.5013951978687e-09	17.0289580264443
25793	-2.62131036544461	7.66649259734728	-10.9920759382612	8.3676502110566e-12	2.51102906772146e-09	17.0079338353629
619567	-3.90868240827914	6.57018930422406	-10.8765663800874	1.07066446199227e-11	3.15753717627202e-09	16.7672954736225
3481	-4.00941480354829	8.40613574165754	-10.8599841243165	1.10937801192902e-11	3.20076078000394e-09	16.7326054256261
9747	2.0528353708442	10.5395957664827	10.8493142662824	1.13504556455712e-11	3.20076078000394e-09	16.7102648568771
595098	-3.2073824121604	6.64633509857711	-10.8466872869617	1.14145809751675e-11	3.20076078000394e-09	16.7047621695236
116938	-4.06375411075174	11.22110882083	-10.8173664384999	1.21560775828003e-11	3.34579831700745e-09	16.6432822282977
594838	-4.01357805910975	10.5763891560715	-10.8082631164042	1.23962159519717e-11	3.34579831700745e-09	16.6241711911127
26791	-3.28763432100288	6.66890208710689	-10.8036921574266	1.25186256818753e-11	3.34579831700745e-09	16.6145710115844
2209	3.31968675504067	7.19064691081859	10.7473065518824	1.41348571383239e-11	3.71964202078507e-09	16.4959185092683
692234	-3.44307535779505	6.914820907275	-10.6950704748882	1.58233338591265e-11	4.09853919562073e-09	16.3856202193905
692199	-4.38191607240747	10.0175200754736	-10.6883849364176	1.60539097402273e-11	4.09853919562073e-09	16.371477204662
23197	3.05645728902303	10.9629491307345	10.6702048647115	1.66985204957692e-11	4.20041460411959e-09	16.3329877390923
5527	-2.70860899031036	9.68296740672304	-10.650850834694	1.74140118993323e-11	4.31690831214607e-09	16.2919643241162
4719	-2.99902330303786	6.81830455818733	-10.6436628559899	1.76876899643871e-11	4.32211338344058e-09	16.2767157014443
26812	-3.24074475521149	6.68110102668778	-10.6288089817848	1.82673192684317e-11	4.40088022657076e-09	16.2451826966999
284254	3.46163256260628	7.72642777652508	10.6111378816689	1.89823542107115e-11	4.47877807619473e-09	16.207630582322
256987	-1.99210599771497	7.39031056487845	-10.5964783923991	1.95973020358287e-11	4.47877807619473e-09	16.1764465661768
767579	-2.78832068592307	6.30666803769753	-10.5956324894462	1.96334045807612e-11	4.47877807619473e-09	16.1746462621027
692073	-3.13447976869972	11.7431560769967	-10.5955244303811	1.96380213805673e-11	4.47877807619473e-09	16.1744162770668
1615	2.23866102815946	11.8992693861609	10.5881772486753	1.99545561877019e-11	4.49108794198211e-09	16.1587753986515
692111	-3.52252082368253	12.6418594613452	-10.5670348881716	2.08949618675964e-11	4.64166652915892e-09	16.1137265692417
26788	-5.0715780852319	9.80569626849057	-10.5471615417154	2.18204063667797e-11	4.78510321671496e-09	16.071326961342
26046	-2.45752550336785	8.55986213493768	-10.5138701653514	2.34660475409288e-11	5.05035297860702e-09	16.0001811691761
677805	-2.72679190241112	10.3079980411975	-10.5108699478567	2.36204757841895e-11	5.05035297860702e-09	15.9937621904658
1785	-2.48268004705569	6.90860989728762	-10.4900441813663	2.47215765247263e-11	5.22052551179559e-09	15.9491719715247
388403	-2.76418693554318	10.0942603284426	-10.472897885924	2.56676094475559e-11	5.35420072683468e-09	15.9124160484143
7555	-1.7352476556398	10.2605791716618	-10.3930247425826	3.05894284058822e-11	6.27467824039197e-09	15.7406719676612
692063	-3.490234371797	7.24041280650614	-10.3897026518292	3.08139708969848e-11	6.27467824039197e-09	15.7335101018292
11057	-2.74611951522023	8.32162329293479	-10.3702106303083	3.21659603377988e-11	6.47292648915351e-09	15.6914585165974
677792	-2.94290230696978	6.86812666847859	-10.3606752613238	3.28493682623357e-11	6.53358655961922e-09	15.6708684244855
619562	-3.07594866859194	12.9961639311384	-10.3402538742315	3.43635592787027e-11	6.74600293502326e-09	15.6267303008747
2512	-2.58181782075364	12.7836540341965	-10.3334709144189	3.48821913201059e-11	6.74600293502326e-09	15.6120573288056
26804	-2.82978097242266	5.93516283289301	-10.3306464821666	3.51005122021087e-11	6.74600293502326e-09	15.6059456470797
3093	-2.07219414204132	6.05338476977586	-10.2938895661242	3.80730133878755e-11	7.23598771110679e-09	15.526310076465
